user_id,device_Id,con_status,con_link,conn_sts_time,createdAt,updatedAt,serial_no
,ObjectId(69283fee99ed3443c527fd6e),false,,1764245903,2025-11-27T12:18:23.818Z,2025-11-27T12:18:23.818Z,SPL1601X02000018
,ObjectId(69283f9499ed34e72727fd65),true,1,1764245941,2025-11-27T12:19:01.790Z,2025-11-27T12:19:01.790Z,SPL1601X02000017
,ObjectId(69283f9499ed34e72727fd65),false,,1764245953,2025-11-27T12:19:13.780Z,2025-11-27T12:19:13.780Z,SPL1601X02000017
,ObjectId(69283f9499ed34e72727fd65),true,1,1764245980,2025-11-27T12:19:40.767Z,2025-11-27T12:19:40.767Z,SPL1601X02000017
,ObjectId(69283f9499ed34e72727fd65),false,,1764245981,2025-11-27T12:19:41.343Z,2025-11-27T12:19:41.343Z,SPL1601X02000017
,ObjectId(69283f9499ed34e72727fd65),true,1,1764245997,2025-11-27T12:19:57.933Z,2025-11-27T12:19:57.933Z,SPL1601X02000017
,ObjectId(69283f9499ed34e72727fd65),false,,1764246053,2025-11-27T12:20:53.857Z,2025-11-27T12:20:53.857Z,SPL1601X02000017
,ObjectId(6928436f99ed347176280200),true,1,1764246554,2025-11-27T12:29:14.221Z,2025-11-27T12:29:14.221Z,SPL1601X02000019
,ObjectId(6928436f99ed347176280200),false,,1764246624,2025-11-27T12:30:24.207Z,2025-11-27T12:30:24.207Z,SPL1601X02000019
,ObjectId(6928436f99ed347176280200),true,1,1764246662,2025-11-27T12:31:02.986Z,2025-11-27T12:31:02.986Z,SPL1601X02000019
,ObjectId(6928436f99ed347176280200),false,,1764246764,2025-11-27T12:32:44.193Z,2025-11-27T12:32:44.193Z,SPL1601X02000019
,ObjectId(6928444999ed34777128024c),true,1,1764246872,2025-11-27T12:34:32.433Z,2025-11-27T12:34:32.433Z,SPL1601X02000021
,ObjectId(6928444999ed34777128024c),false,,1764246999,2025-11-27T12:36:39.386Z,2025-11-27T12:36:39.386Z,SPL1601X02000021
,ObjectId(6928473499ed345fc32803a0),true,1,1764249598,2025-11-27T13:19:58.314Z,2025-11-27T13:19:58.314Z,SPL1601X02000022
,ObjectId(6928473499ed345fc32803a0),false,,1764249661,2025-11-27T13:21:01.136Z,2025-11-27T13:21:01.136Z,SPL1601X02000022
,ObjectId(69284ae299ed34647c2803a8),true,1,1764249690,2025-11-27T13:21:30.331Z,2025-11-27T13:21:30.331Z,SPL1601X02000023
,ObjectId(69284ae299ed34647c2803a8),false,,1764249746,2025-11-27T13:22:26.134Z,2025-11-27T13:22:26.134Z,SPL1601X02000023
,ObjectId(69284b3d99ed3418e62803aa),true,1,1764249769,2025-11-27T13:22:49.877Z,2025-11-27T13:22:49.877Z,SPL1601X02000024
,ObjectId(69284b3d99ed3418e62803aa),false,,1764249836,2025-11-27T13:23:56.216Z,2025-11-27T13:23:56.216Z,SPL1601X02000024
,ObjectId(6928525499ed34ef822804a5),true,1,1764250449,2025-11-27T13:34:09.996Z,2025-11-27T13:34:09.996Z,SPL1601X02000025
,ObjectId(6928525499ed34ef822804a5),false,,1764250546,2025-11-27T13:35:46.739Z,2025-11-27T13:35:46.739Z,SPL1601X02000025
,ObjectId(6928525499ed34ef822804a5),true,1,1764264452,2025-11-27T17:27:32.918Z,2025-11-27T17:27:32.918Z,SPL1601X02000025
,ObjectId(6928525499ed34ef822804a5),false,,1764264531,2025-11-27T17:28:51.594Z,2025-11-27T17:28:51.594Z,SPL1601X02000025
,ObjectId(692852ae99ed34cb092804a7),true,1,1764264558,2025-11-27T17:29:18.108Z,2025-11-27T17:29:18.108Z,SPL1601X02000026
,ObjectId(692852ae99ed34cb092804a7),false,,1764264641,2025-11-27T17:30:41.708Z,2025-11-27T17:30:41.708Z,SPL1601X02000026
,ObjectId(6928530d99ed3435412804a9),true,1,1764264664,2025-11-27T17:31:04.211Z,2025-11-27T17:31:04.211Z,SPL1601X02000027
,ObjectId(6928530d99ed3435412804a9),false,,1764264721,2025-11-27T17:32:01.653Z,2025-11-27T17:32:01.653Z,SPL1601X02000027
,ObjectId(69288d1599ed346f89280db8),true,1,1764266354,2025-11-27T17:59:14.214Z,2025-11-27T17:59:14.214Z,SPL1601X02000028
,ObjectId(69288d1599ed346f89280db8),false,,1764266422,2025-11-27T18:00:22.951Z,2025-11-27T18:00:22.951Z,SPL1601X02000028
,ObjectId(692890bf99ed347b8b280dc0),true,1,1764266474,2025-11-27T18:01:15.010Z,2025-11-27T18:01:15.010Z,SPL1601X02000030
,ObjectId(692890bf99ed347b8b280dc0),false,,1764266538,2025-11-27T18:02:18.030Z,2025-11-27T18:02:18.030Z,SPL1601X02000030
,ObjectId(69288d7199ed345eeb280dba),true,1,1764266559,2025-11-27T18:02:39.613Z,2025-11-27T18:02:39.613Z,SPL1601X02000029
,ObjectId(69288d7199ed345eeb280dba),false,,1764266613,2025-11-27T18:03:33.114Z,2025-11-27T18:03:33.114Z,SPL1601X02000029
,ObjectId(692898c599ed34b4e0280f1f),true,1,1764268478,2025-11-27T18:34:38.715Z,2025-11-27T18:34:38.715Z,SPL1601X02000031
,ObjectId(692898c599ed34b4e0280f1f),false,,1764268529,2025-11-27T18:35:29.671Z,2025-11-27T18:35:29.671Z,SPL1601X02000031
,ObjectId(6928991e99ed342e59280fc0),true,1,1764268562,2025-11-27T18:36:02.860Z,2025-11-27T18:36:02.860Z,SPL1601X02000032
,ObjectId(6928991e99ed342e59280fc0),false,,1764268624,2025-11-27T18:37:04.693Z,2025-11-27T18:37:04.693Z,SPL1601X02000032
,ObjectId(6928997799ed342a73280fca),true,1,1764268651,2025-11-27T18:37:31.317Z,2025-11-27T18:37:31.317Z,SPL1601X02000033
,ObjectId(6928997799ed342a73280fca),false,,1764268704,2025-11-27T18:38:24.607Z,2025-11-27T18:38:24.607Z,SPL1601X02000033
,ObjectId(69289c3499ed3436de281221),true,1,1764269340,2025-11-27T18:49:00.083Z,2025-11-27T18:49:00.083Z,SPL1601X02000034
,ObjectId(69289c3499ed3436de281221),false,,1764269355,2025-11-27T18:49:15.106Z,2025-11-27T18:49:15.106Z,SPL1601X02000034
,ObjectId(69289c3499ed3436de281221),true,1,1764269376,2025-11-27T18:49:36.908Z,2025-11-27T18:49:36.908Z,SPL1601X02000034
,ObjectId(69289c3499ed3436de281221),false,,1764269444,2025-11-27T18:50:44.323Z,2025-11-27T18:50:44.323Z,SPL1601X02000034
,ObjectId(69289c8d99ed347e0f281223),true,1,1764269460,2025-11-27T18:51:00.643Z,2025-11-27T18:51:00.643Z,SPL1601X02000035
,ObjectId(69289c3499ed3436de281221),true,1,1764269489,2025-11-27T18:51:29.870Z,2025-11-27T18:51:29.870Z,SPL1601X02000034
,ObjectId(69289cea99ed34108d281225),true,1,1764269550,2025-11-27T18:52:30.033Z,2025-11-27T18:52:30.033Z,SPL1601X02000036
,ObjectId(69289cea99ed34108d281225),false,,1764269615,2025-11-27T18:53:35.602Z,2025-11-27T18:53:35.602Z,SPL1601X02000036
,ObjectId(69289c8d99ed347e0f281223),false,,1764269630,2025-11-27T18:53:50.281Z,2025-11-27T18:53:50.281Z,SPL1601X02000035
,ObjectId(69289c3499ed3436de281221),false,,1764269640,2025-11-27T18:54:00.310Z,2025-11-27T18:54:00.310Z,SPL1601X02000034
,ObjectId(69289fd299ed34b27f281391),true,1,1764270242,2025-11-27T19:04:02.170Z,2025-11-27T19:04:02.170Z,SPL1601X02000037
,ObjectId(69289fd299ed34b27f281391),false,,1764270357,2025-11-27T19:05:57.838Z,2025-11-27T19:05:57.838Z,SPL1601X02000037
,ObjectId(69289fd299ed34b27f281391),true,1,1764270384,2025-11-27T19:06:24.149Z,2025-11-27T19:06:24.149Z,SPL1601X02000037
,ObjectId(69289fd299ed34b27f281391),true,1,1764270430,2025-11-27T19:07:10.771Z,2025-11-27T19:07:10.771Z,SPL1601X02000037
,ObjectId(69289fd299ed34b27f281391),false,,1764270438,2025-11-27T19:07:18.146Z,2025-11-27T19:07:18.146Z,SPL1601X02000037
,ObjectId(6928a02a99ed34cd06281393),true,1,1764270438,2025-11-27T19:07:18.907Z,2025-11-27T19:07:18.907Z,SPL1601X02000038
,ObjectId(69289fd299ed34b27f281391),true,1,1764270467,2025-11-27T19:07:47.955Z,2025-11-27T19:07:47.955Z,SPL1601X02000037
,ObjectId(6928a08299ed34117f281395),true,1,1764270518,2025-11-27T19:08:38.087Z,2025-11-27T19:08:38.087Z,SPL1601X02000039
,ObjectId(6928a08299ed34117f281395),false,,1764270560,2025-11-27T19:09:20.343Z,2025-11-27T19:09:20.343Z,SPL1601X02000039
,ObjectId(6928a08299ed34117f281395),true,1,1764270608,2025-11-27T19:10:08.999Z,2025-11-27T19:10:08.999Z,SPL1601X02000039
,ObjectId(69289fd299ed34b27f281391),false,,1764270630,2025-11-27T19:10:30.735Z,2025-11-27T19:10:30.735Z,SPL1601X02000037
,ObjectId(6928a02a99ed34cd06281393),false,,1764270670,2025-11-27T19:11:10.782Z,2025-11-27T19:11:10.782Z,SPL1601X02000038
,ObjectId(6928a08299ed34117f281395),false,,1764270680,2025-11-27T19:11:20.819Z,2025-11-27T19:11:20.819Z,SPL1601X02000039
,ObjectId(6928a40c99ed34fc00281589),true,1,1764271144,2025-11-27T19:19:04.635Z,2025-11-27T19:19:04.635Z,SPL1601X02000040
,ObjectId(6928a40c99ed34fc00281589),false,,1764271236,2025-11-27T19:20:36.082Z,2025-11-27T19:20:36.082Z,SPL1601X02000040
,ObjectId(6928a73d99ed34e9662815dd),true,1,1764272168,2025-11-27T19:36:08.114Z,2025-11-27T19:36:08.114Z,SPL3001X02000001
,ObjectId(6928a73d99ed34e9662815dd),false,,1764272216,2025-11-27T19:36:56.787Z,2025-11-27T19:36:56.787Z,SPL3001X02000001
,ObjectId(6928a79699ed34d24d2815df),true,1,1764272241,2025-11-27T19:37:21.116Z,2025-11-27T19:37:21.116Z,SPL3001X02000002
,ObjectId(6928a73d99ed34e9662815dd),true,1,1764272269,2025-11-27T19:37:49.698Z,2025-11-27T19:37:49.698Z,SPL3001X02000001
,ObjectId(6928a80399ed34f8362815e1),true,1,1764272355,2025-11-27T19:39:15.335Z,2025-11-27T19:39:15.335Z,SPL3001X02000003
,ObjectId(6928a80399ed34f8362815e1),false,,1764272421,2025-11-27T19:40:21.894Z,2025-11-27T19:40:21.894Z,SPL3001X02000003
,ObjectId(6928a79699ed34d24d2815df),false,,1764272442,2025-11-27T19:40:42.032Z,2025-11-27T19:40:42.032Z,SPL3001X02000002
,ObjectId(6928a73d99ed34e9662815dd),false,,1764272467,2025-11-27T19:41:07.160Z,2025-11-27T19:41:07.160Z,SPL3001X02000001
,ObjectId(6928b3a499ed340dde281745),true,1,1764275168,2025-11-27T20:26:08.634Z,2025-11-27T20:26:08.634Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275240,2025-11-27T20:27:20.774Z,2025-11-27T20:27:20.774Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),true,1,1764275294,2025-11-27T20:28:14.495Z,2025-11-27T20:28:14.495Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275297,2025-11-27T20:28:17.741Z,2025-11-27T20:28:17.741Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),true,1,1764275330,2025-11-27T20:28:50.602Z,2025-11-27T20:28:50.602Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275431,2025-11-27T20:30:31.193Z,2025-11-27T20:30:31.193Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),true,1,1764275485,2025-11-27T20:31:25.896Z,2025-11-27T20:31:25.896Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275501,2025-11-27T20:31:41.109Z,2025-11-27T20:31:41.109Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),true,1,1764275554,2025-11-27T20:32:34.760Z,2025-11-27T20:32:34.760Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275569,2025-11-27T20:32:49.295Z,2025-11-27T20:32:49.295Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),true,1,1764275662,2025-11-27T20:34:22.303Z,2025-11-27T20:34:22.303Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275698,2025-11-27T20:34:58.311Z,2025-11-27T20:34:58.311Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),true,1,1764275726,2025-11-27T20:35:26.494Z,2025-11-27T20:35:26.494Z,SPL3001X02000004
,ObjectId(6928b3a499ed340dde281745),false,,1764275769,2025-11-27T20:36:09.461Z,2025-11-27T20:36:09.461Z,SPL3001X02000004
,ObjectId(6928b76499ed342fd0281807),true,1,1764276696,2025-11-27T20:51:36.799Z,2025-11-27T20:51:36.799Z,SPL3001X02000005
,ObjectId(6928b76499ed342fd0281807),false,,1764276761,2025-11-27T20:52:41.542Z,2025-11-27T20:52:41.542Z,SPL3001X02000005
,ObjectId(6928b76499ed342fd0281807),true,1,1764276798,2025-11-27T20:53:18.646Z,2025-11-27T20:53:18.646Z,SPL3001X02000005
,ObjectId(6928b76499ed342fd0281807),false,,1764276870,2025-11-27T20:54:30.273Z,2025-11-27T20:54:30.273Z,SPL3001X02000005
,ObjectId(6928b9a499ed345027281813),true,1,1764276881,2025-11-27T20:54:41.454Z,2025-11-27T20:54:41.454Z,SPL3001X02000006
,ObjectId(6928b9a499ed345027281813),false,,1764276930,2025-11-27T20:55:30.236Z,2025-11-27T20:55:30.236Z,SPL3001X02000006
,ObjectId(6928beb899ed3424592818e0),true,1,1764278170,2025-11-27T21:16:10.955Z,2025-11-27T21:16:10.955Z,SPL3001X02000007
,ObjectId(6928beb899ed3424592818e0),false,,1764278306,2025-11-27T21:18:26.234Z,2025-11-27T21:18:26.234Z,SPL3001X02000007
